eventId,modified_average,num_persons
222,3,1
222,4,4
222,5,8
222,6,16
222,7,6
222,8,4
222,9,11
222,10,5
222,11,2
222,12,3
222,13,3
222,14,2
222,15,4
222,16,1
222,17,1
222,20,1
222,21,2
222,23,1
222,25,1
222,46,1
333,11,1
333,13,2
333,14,2
333,15,3
333,16,12
333,17,6
333,18,7
333,19,6
333,20,13
333,21,2
333,22,4
333,23,9
333,24,3
333,25,2
333,26,2
333,27,1
333,28,2
333,29,1
333,30,1
333,32,2
333,33,3
333,34,3
333,35,3
333,36,1
333,38,1
333,39,3
333,41,2
333,42,1
333,43,1
333,44,1
333,46,1
333,53,1
333,58,1
333,59,2
333,69,1
333,75,2
333,79,1
333,85,1
333,88,1
333,155,1
333,199,1
333bf,53,1
333bf,60,1
333bf,65,1
333bf,69,1
333bf,80,1
333bf,83,1
333bf,135,1
333bf,150,1
333bf,152,1
333bf,157,1
333bf,177,1
333bf,223,1
333bf,303,1
333bf,328,1
333bf,433,1
333fm,27,1
333fm,28,1
333fm,29,2
333fm,31,1
333fm,32,1
333fm,33,1
333fm,35,2
333fm,36,1
333fm,38,1
333fm,39,1
333fm,40,1
333fm,46,2
333fm,47,1
333fm,56,1
333fm,60,1
333ft,62,1
333ft,117,1
333ft,122,1
333ft,147,2
333ft,152,1
333ft,168,1
333ft,251,1
333ft,254,1
333oh,22,1
333oh,25,1
333oh,27,2
333oh,30,1
333oh,31,2
333oh,32,1
333oh,33,2
333oh,34,4
333oh,35,2
333oh,36,2
333oh,37,2
333oh,38,2
333oh,39,2
333oh,45,1
333oh,48,2
333oh,49,2
333oh,50,1
333oh,51,3
333oh,52,2
333oh,57,1
333oh,60,1
333oh,64,1
333oh,70,1
333oh,74,2
333oh,77,2
333oh,81,2
333oh,82,1
333oh,85,1
333oh,86,1
333oh,93,1
333oh,126,1
444,46,1
444,53,1
444,58,1
444,62,1
444,63,2
444,64,1
444,65,4
444,66,2
444,67,1
444,68,2
444,69,4
444,71,2
444,72,1
444,73,1
444,74,1
444,77,3
444,78,1
444,80,2
444,81,1
444,84,1
444,86,1
444,87,1
444,88,1
444,92,2
444,93,1
444,95,1
444,96,1
444,99,1
444,100,1
444,103,1
444,105,2
444,108,1
444,110,1
444,112,1
444,114,1
444,117,1
444,122,2
444,127,1
444,130,1
444,142,1
444,151,1
444,161,1
444,168,1
444,171,1
444,174,1
444,179,2
555,95,1
555,104,1
555,107,1
555,112,2
555,115,1
555,120,2
555,127,2
555,128,1
555,131,1
555,135,1
555,138,1
555,140,1
555,141,1
555,145,1
555,149,1
555,150,1
555,159,1
555,164,1
555,168,1
555,171,1
555,176,1
555,182,1
555,190,1
555,192,1
555,210,1
555,212,1
555,214,1
555,229,1
555,235,1
555,239,1
555,293,1
555,301,1
555,307,1
555,311,1
555,313,1
555,403,1
555,417,1
555,427,1
666,197,1
666,210,1
666,211,1
666,212,1
666,216,1
666,218,1
666,229,1
666,239,1
666,258,1
666,273,1
666,298,1
666,322,1
666,326,1
666,332,1
666,340,1
666,402,1
666,456,1
666,626,1
777,310,1
777,316,2
777,319,1
777,343,1
777,357,1
777,366,1
777,375,1
777,377,1
777,476,1
777,496,1
777,505,1
777,528,1
777,546,1
777,722,1
777,1031,1
clock,7,1
clock,8,2
clock,9,1
clock,10,1
clock,11,1
clock,12,1
clock,13,3
clock,14,2
clock,18,3
clock,19,1
clock,20,2
clock,21,1
clock,22,1
clock,23,1
clock,26,1
clock,27,1
clock,34,3
clock,39,1
clock,44,1
clock,100,1
magic,1,4
magic,2,5
magic,3,2
magic,7,1
minx,116,1
minx,118,1
minx,119,1
minx,125,1
minx,130,1
minx,139,1
minx,153,1
minx,155,1
minx,160,1
minx,162,1
minx,164,1
minx,194,1
minx,223,1
minx,224,1
minx,292,1
minx,301,1
minx,354,1
minx,381,1
mmagic,2,1
mmagic,3,2
mmagic,4,2
mmagic,5,2
mmagic,6,1
mmagic,17,1
pyram,5,2
pyram,6,1
pyram,7,6
pyram,8,2
pyram,9,4
pyram,10,2
pyram,11,4
pyram,12,3
pyram,13,2
pyram,14,3
pyram,15,2
pyram,16,3
pyram,17,3
pyram,18,3
pyram,19,1
pyram,20,1
pyram,21,1
pyram,23,1
pyram,24,1
pyram,29,1
pyram,30,2
pyram,32,1
pyram,36,1
skewb,7,2
skewb,8,1
skewb,9,4
skewb,10,3
skewb,12,3
skewb,14,2
skewb,15,4
skewb,16,4
skewb,17,1
skewb,19,2
skewb,21,1
skewb,22,1
skewb,24,2
skewb,30,1
skewb,32,1
skewb,35,1
skewb,38,1
skewb,41,1
skewb,51,1
sq1,15,1
sq1,19,1
sq1,20,1
sq1,28,1
sq1,29,2
sq1,31,1
sq1,36,3
sq1,38,1
sq1,58,1
sq1,78,1
sq1,80,1
sq1,84,1
sq1,85,1
sq1,87,1
sq1,137,1
sq1,160,1
sq1,229,1
